# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1761291968453000000,1761291992987000000,38
NonBlockingReadAction.finalizedExecutionTimeUs,1761291968453000000,1761291992987000000,190437
AWTEventQueue.dispatchTimeTotalNS,1761291968453000000,1761291992987000000,2124572592
NonBlockingReadAction.failedExecutionsCount,1761291968453000000,1761291992987000000,2
NonBlockingReadAction.failedExecutionTimeUs,1761291968453000000,1761291992987000000,396334
DirectByteBufferAllocator.hits,1761291968453000000,1761291992987000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1761291968453000000,1761291992987000000,0
FilePageCache.pageLoads,1761291968453000000,1761291992987000000,437
FileChannelInterruptsRetryer.totalRetriedAttempts,1761291968453000000,1761291992987000000,0
FilePageCache.pageFastCacheHits,1761291968453000000,1761291992987000000,61396
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1761291968453000000,1761291992987000000,41943040
FilePageCache.pageHits,1761291968453000000,1761291992987000000,0
DirectByteBufferAllocator.disposed,1761291968453000000,1761291992987000000,394
FilePageCache.capacityInBytes,1761291968453000000,1761291992987000000,629145600
FilePageCache.totalPageLoadsUs,1761291968453000000,1761291992987000000,524619
FilePageCache.uncachedFileAccess,1761291968453000000,1761291992987000000,366
StorageLockContext.competingThreads.avg,1761291968453000000,1761291992987000000,0.1875
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1761291968453000000,1761291992987000000,41943040
DirectByteBufferAllocator.reclaimed,1761291968453000000,1761291992987000000,43
FilePageCache.totalPageDisposalsUs,1761291968453000000,1761291992987000000,4358
DirectByteBufferAllocator.misses,1761291968453000000,1761291992987000000,434
FilePageCache.disposedBuffers,1761291968453000000,1761291992987000000,437
StorageLockContext.competingThreads.max,1761291968453000000,1761291992987000000,9
StorageLockContext.competingThreads.90P,1761291968453000000,1761291992987000000,0
FilePageCache.maxCacheSizeInBytes,1761291968453000000,1761291992987000000,455081984
FilePageCache.maxRegisteredFiles,1761291968453000000,1761291992987000000,945
VFS.invertedFileNameIndex.requests,1761291968453000000,1761291992987000000,1
VFS.fileChildByName,1761291968453000000,1761291992987000000,2177901
VFS.folderCaseSensitivityReads,1761291968453000000,1761291992987000000,113
VFS.fileByIdCache.hits,1761291968453000000,1761291992987000000,49
VFS.fileByIdCache.misses,1761291968453000000,1761291992987000000,155912
lexer.HTML.time.ns,1761291968453000000,1761291992987000000,105789751
lexer.textmate.size.bytes,1761291968453000000,1761291992987000000,1290
lexer.DTD.size.bytes,1761291968453000000,1761291992987000000,63096
writeAction.max.wait.ms,1761291968453000000,1761291992987000000,209
parser.Shell.Script.time.ns,1761291968453000000,1761291992987000000,105794541
lexer.JSON.size.bytes,1761291968453000000,1761291992987000000,746971
DiskQueryRelay.taskWaitingTotalTimeUs,1761291968453000000,1761291992987000000,6366782
lexer.RELAX-NG.size.bytes,1761291968453000000,1761291992987000000,117
parser.JQuery-CSS.time.ns,1761291968453000000,1761291992987000000,1307417
parser.SVG.time.ns,1761291968453000000,1761291992987000000,8656624
parser.CSS.time.ns,1761291968453000000,1761291992987000000,177394986
lexer.SVG.time.ns,1761291968453000000,1761291992987000000,5436875
lexer.CSS.time.ns,1761291968453000000,1761291992987000000,23449379
lexer.Shell.Script.size.bytes,1761291968453000000,1761291992987000000,35057
writeAction.median.wait.ms,1761291968453000000,1761291992987000000,200
parser.IgnoreLang.size.bytes,1761291968453000000,1761291992987000000,3522
lexer.yaml.size.bytes,1761291968453000000,1761291992987000000,5284
parser.Shell.Script.size.bytes,1761291968453000000,1761291992987000000,35057
DiskQueryRelay.tasksExecuted,1761291968453000000,1761291992987000000,8770
lexer.IgnoreLang.time.ns,1761291968453000000,1761291992987000000,1059334
DiskQueryRelay.taskExecutionTotalTimeUs,1761291968453000000,1761291992987000000,5424632
parser.SVG.size.bytes,1761291968453000000,1761291992987000000,4928
parser.yaml.size.bytes,1761291968453000000,1761291992987000000,5284
parser.CSS.size.bytes,1761291968453000000,1761291992987000000,252780
lexer.JQuery-CSS.time.ns,1761291968453000000,1761291992987000000,153628
lexer.TypeScript.time.ns,1761291968453000000,1761291992987000000,2845000
parser.ECMAScript.6.size.bytes,1761291968453000000,1761291992987000000,1508060
lexer.TypeScript.size.bytes,1761291968453000000,1761291992987000000,14476
lexer.JQuery-CSS.size.bytes,1761291968453000000,1761291992987000000,660
parser.textmate.time.ns,1761291968453000000,1761291992987000000,124750
parser.IgnoreLang.time.ns,1761291968453000000,1761291992987000000,3667458
lexer.yaml.time.ns,1761291968453000000,1761291992987000000,1935583
lexer.RELAX-NG.time.ns,1761291968453000000,1761291992987000000,697167
lexer.HTML.size.bytes,1761291968453000000,1761291992987000000,475793
lexer.JSON.time.ns,1761291968453000000,1761291992987000000,26212081
