Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;9.28;100.00%;23;5956
/data/project/public;4.02;43.27%;9;2438
/data/project/public/js;3.64;39.17%;9;1945
/data/project/public/js/utils;0.36;3.91%;0;104
/data/project/public/js/controllers;0.11;1.14%;0;513
/data/project/public/emdr-therapy;0.09;0.99%;0;109
/data/project/public/css;0.01;0.07%;0;16
/data/project/public/components;0.00;0.01%;0;17
/data/project/test;2.21;23.82%;1;834
/data/project/server;1.92;20.64%;0;1033
/data/project/server/network;1.22;13.10%;0;211
/data/project/server/session;0.54;5.86%;0;409
/data/project/server/utils;0.06;0.65%;0;106
/data/project/qodana_final_report/log;0.52;5.59%;13;160
/data/project/qodana_final_report/log/indexing-diagnostic/project.15375f63;0.01;0.08%;0;11
/data/project/.github/workflows;0.00;0.04%;0;16
/data/project/.scannerwork;0.00;0.00%;0;11
