# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1761290948214000000,1761290972677000000,35
VFS.invertedFileNameIndex.requests,1761290948214000000,1761290972677000000,1
VFS.fileChildByName,1761290948214000000,1761290972677000000,2255641
VFS.fileByIdCache.misses,1761290948214000000,1761290972677000000,158549
VFS.folderCaseSensitivityReads,1761290948214000000,1761290972677000000,100
NonBlockingReadAction.finalizedExecutionTimeUs,1761290948214000000,1761290972677000000,131319
NonBlockingReadAction.failedExecutionTimeUs,1761290948214000000,1761290972677000000,238858
NonBlockingReadAction.finalizedExecutionsCount,1761290948214000000,1761290972677000000,52
NonBlockingReadAction.failedExecutionsCount,1761290948214000000,1761290972677000000,1
AWTEventQueue.dispatchTimeTotalNS,1761290948214000000,1761290972677000000,1718386239
Indexing.cache.totalCacheAccesses,1761290948214000000,1761290972677000000,509153
Indexing.totalTimeIndexersSleptMs,1761290948214000000,1761290972677000000,0
Indexes.allKeys.lookupDuration90PMs,1761290948214000000,1761290972677000000,5.0
Indexes.stubs.lookupDurationMaxMs,1761290948214000000,1761290972677000000,487.0
Indexing.writesQueuedAvg,1761290948214000000,1761290972677000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1761290948214000000,1761290972677000000,0
Indexes.entries.lookupDurationMaxMs,1761290948214000000,1761290972677000000,49.0
Indexing.writer_2.totalTimeSpentWritingMs,1761290948214000000,1761290972677000000,0
Indexing.writesQueuedMax,1761290948214000000,1761290972677000000,0
Indexes.stubs.lookupDuration90PMs,1761290948214000000,1761290972677000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1761290948214000000,1761290972677000000,5.0
Indexing.writer_1.totalTimeSpentWritingMs,1761290948214000000,1761290972677000000,0
Indexes.entries.lookups,1761290948214000000,1761290972677000000,10515
Indexing.cache.totalCacheMisses,1761290948214000000,1761290972677000000,48993
Indexing.cache.totalCacheEvicted,1761290948214000000,1761290972677000000,48993
Indexing.writer_3.totalTimeSpentWritingMs,1761290948214000000,1761290972677000000,0
Indexes.allKeys.lookups,1761290948214000000,1761290972677000000,1
Indexing.writesQueuedMin,1761290948214000000,1761290972677000000,0
Indexes.entries.lookupDuration90PMs,1761290948214000000,1761290972677000000,0.0
Indexes.entries.lookupDurationAvgMs,1761290948214000000,1761290972677000000,0.023834393694805812
Indexes.allKeys.lookupDurationMaxMs,1761290948214000000,1761290972677000000,5.0
Indexes.stubs.lookupDurationAvgMs,1761290948214000000,1761290972677000000,0.06732002744711954
Indexes.stubs.lookups,1761290948214000000,1761290972677000000,133058
jps.reload.project.entities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1761290948214000000,1761290972677000000,1
workspaceModel.sync.entities.ms,1761290948214000000,1761290972677000000,0
jps.library.entities.serializer.save.entities.ms,1761290948214000000,1761290972677000000,0
jps.project.serializers.load.ms,1761290948214000000,1761290972677000000,36
workspaceModel.orphan.listener.update.ms,1761290948214000000,1761290972677000000,3
jps.global.handle.before.change.events.ms,1761290948214000000,1761290972677000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1761290948214000000,1761290972677000000,1
workspaceModel.do.save.caches.ms,1761290948214000000,1761290972677000000,107
workspaceModel.moduleBridge.facet.initialization.ms,1761290948214000000,1761290972677000000,12
jps.facet.change.listener.init.bridge.ms,1761290948214000000,1761290972677000000,0
jps.artifact.entities.serializer.load.entities.ms,1761290948214000000,1761290972677000000,0
workspaceModel.global.updates.ms,1761290948214000000,1761290972677000000,4
workspaceModel.mutableEntityStorage.to.snapshot.ms,1761290948214000000,1761290972677000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1761290948214000000,1761290972677000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1761290948214000000,1761290972677000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1761290948214000000,1761290972677000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1761290948214000000,1761290972677000000,106
